ProductInfo,Prix,Pays,Region,Appellation,Designation,Classification,Alcool,Sucre,Couleur,Cepages,Format,Producteur,Agent,CodeSAQ,CodeCUP,Millesime,BoireMin,BoireMax,Bue,AcquiseOu,Notes,Particularite
Michel & Stéphane Ogier La Belle Hélène ,508.5,France,"Vallée du Rhône, Rhône septentrional",Côte Rôtie,(AOC/AOP) Appellation origine controlée/protégée,,12.5,0.0,Rouge,Syrah 100 %,750,Michel & Stéphane Ogier Père et fils,Boires inc.,13787578,BelleHelene2009,2009,2019,2039,non,Ampuis,,
Domaine des Perdrix Vosne-Romanée ,109.0,France,"Bourgogne, Côte de Nuits",Vosne-Romanée,(AOC/AOP) Appellation origine controlée/protégée,,12.9,2.8,Rouge,Pinot noir 100 %,750,B. et C. Devillard,LBV International Inc.,862862,3700587105439,2017,2022,2037,non,,,
